Date,Area,Duration,Visitors,Holiday
02/07/2019,Via San Giacomo,210.0,10,False
02/07/2019,Via San Giacomo,360.0,1,False
02/07/2019,Piazza Scaravilli,1.0,6319,False
02/07/2019,Piazza Scaravilli,50.0,88,False
02/07/2019,Piazza Scaravilli,75.0,38,False
02/07/2019,Piazza Scaravilli,105.0,15,False
02/07/2019,Piazza Scaravilli,150.0,8,False
02/07/2019,Piazza Scaravilli,360.0,4,False
02/07/2019,Palazzo Poggi,1.0,6509,False
02/07/2019,Palazzo Poggi,7.5,622,False
02/07/2019,Palazzo Poggi,15.0,478,False
02/07/2019,Palazzo Poggi,150.0,7,False
02/07/2019,Palazzo Poggi,300.0,2,False
02/07/2019,Palazzo Poggi,360.0,0,False
02/07/2019,Piazza Scaravilli,210.0,2,False
02/07/2019,Facoltà Di Giurisprudenza,75.0,16,False
03/07/2019,Facoltà Di Giurisprudenza,75.0,34,False
03/07/2019,Porta San Donato,15.0,1260,False
03/07/2019,Piazza Verdi,7.5,1122,False
03/07/2019,Piazza Verdi,30.0,1046,False
03/07/2019,Piazza Verdi,105.0,113,False
03/07/2019,Facoltà Di Giurisprudenza,1.0,9494,False
03/07/2019,Facoltà Di Giurisprudenza,30.0,168,False
03/07/2019,Facoltà Di Giurisprudenza,105.0,7,False
03/07/2019,Facoltà Di Giurisprudenza,360.0,4,False
03/07/2019,Piazza Rossini (Palazzo Malvezzi),1.0,11249,False
03/07/2019,Piazza Rossini (Palazzo Malvezzi),3.0,2799,False
03/07/2019,Piazza Rossini (Palazzo Malvezzi),7.5,388,False
03/07/2019,Piazza Rossini (Palazzo Malvezzi),15.0,336,False
03/07/2019,Piazza Rossini (Palazzo Malvezzi),75.0,48,False
03/07/2019,Piazza Rossini (Palazzo Malvezzi),105.0,30,False
03/07/2019,Piazza Rossini (Palazzo Malvezzi),150.0,27,False
03/07/2019,Piazza Rossini (Palazzo Malvezzi),210.0,15,False
03/07/2019,2 Torri (Inizio Portico Via Zamboni),3.0,3700,False
03/07/2019,2 Torri (Inizio Portico Via Zamboni),30.0,733,False
03/07/2019,Via Del Guasto,210.0,0,False
03/07/2019,Via Del Guasto,75.0,0,False
03/07/2019,Via Del Guasto,15.0,0,False
03/07/2019,Via Del Guasto,3.0,0,False
03/07/2019,Porta San Donato,30.0,1233,False
03/07/2019,Porta San Donato,75.0,301,False
03/07/2019,Porta San Donato,105.0,175,False
03/07/2019,Porta San Donato,150.0,172,False
03/07/2019,Piazza Puntoni (Via Zamboni),30.0,635,False
03/07/2019,Piazza Puntoni (Via Zamboni),75.0,159,False
03/07/2019,Piazza Puntoni (Via Zamboni),150.0,64,False
03/07/2019,Piazza Puntoni (Via Zamboni),210.0,28,False
03/07/2019,Facoltà Di Giurisprudenza,50.0,50,False
03/07/2019,Piazza Puntoni (Via Zamboni),360.0,30,False
03/07/2019,Via San Giacomo,50.0,93,False
03/07/2019,Via San Giacomo,300.0,5,False
03/07/2019,Piazza Scaravilli,105.0,14,False
03/07/2019,Palazzo Poggi,50.0,66,False
03/07/2019,Palazzo Poggi,75.0,39,False
03/07/2019,Palazzo Poggi,105.0,13,False
03/07/2019,Palazzo Poggi,300.0,1,False
03/07/2019,Via Del Guasto,1.0,0,False
03/07/2019,Via San Giacomo,15.0,571,False
03/07/2019,Porta San Donato,1.0,10859,False
03/07/2019,Piazza Puntoni (Via Zamboni),50.0,265,False
03/07/2019,Porta San Donato,7.5,1221,False
03/07/2019,Via San Giacomo,150.0,16,False
03/07/2019,Via San Giacomo,105.0,28,False
03/07/2019,Via San Giacomo,75.0,64,False
03/07/2019,Via San Giacomo,30.0,355,False
03/07/2019,Via San Giacomo,1.0,8439,False
03/07/2019,Piazza Puntoni (Via Zamboni),300.0,42,False
03/07/2019,Piazza Puntoni (Via Zamboni),105.0,50,False
03/07/2019,Via San Giacomo,360.0,3,False
03/07/2019,Piazza Puntoni (Via Zamboni),3.0,2565,False
03/07/2019,Porta San Donato,300.0,53,False
03/07/2019,Facoltà Di Giurisprudenza,210.0,4,False
03/07/2019,Facoltà Di Giurisprudenza,300.0,3,False
03/07/2019,Piazza Rossini (Palazzo Malvezzi),300.0,10,False
03/07/2019,2 Torri (Inizio Portico Via Zamboni),15.0,863,False
03/07/2019,2 Torri (Inizio Portico Via Zamboni),75.0,187,False
03/07/2019,2 Torri (Inizio Portico Via Zamboni),150.0,119,False
03/07/2019,Porta San Donato,360.0,109,False
03/07/2019,Piazza Scaravilli,7.5,649,False
03/07/2019,Piazza Scaravilli,15.0,441,False
03/07/2019,Piazza Scaravilli,30.0,250,False
03/07/2019,Facoltà Di Giurisprudenza,7.5,448,False
03/07/2019,Piazza Verdi,360.0,36,False
03/07/2019,Piazza Verdi,300.0,28,False
03/07/2019,Piazza Verdi,210.0,42,False
03/07/2019,Piazza Verdi,3.0,4600,False
03/07/2019,Piazza Verdi,1.0,8986,False
03/07/2019,Via Del Guasto,300.0,0,False
03/07/2019,Via Del Guasto,105.0,0,False
03/07/2019,Via Del Guasto,50.0,0,False
03/07/2019,Via Del Guasto,30.0,0,False
03/07/2019,Via Del Guasto,7.5,0,False
03/07/2019,Palazzo Poggi,150.0,10,False
03/07/2019,Palazzo Poggi,7.5,551,False
03/07/2019,Palazzo Poggi,3.0,2405,False
03/07/2019,Piazza Scaravilli,300.0,1,False
03/07/2019,Piazza Scaravilli,75.0,40,False
03/07/2019,Piazza Scaravilli,50.0,80,False
03/07/2019,2 Torri (Inizio Portico Via Zamboni),360.0,93,False
03/07/2019,Porta San Donato,3.0,9480,False
03/07/2019,2 Torri (Inizio Portico Via Zamboni),105.0,88,False
03/07/2019,2 Torri (Inizio Portico Via Zamboni),1.0,6272,False
03/07/2019,Via Del Guasto,150.0,0,False
03/07/2019,Via Del Guasto,360.0,0,False
03/07/2019,Piazza Verdi,15.0,1114,False
03/07/2019,Piazza Verdi,50.0,404,False
03/07/2019,Piazza Verdi,150.0,90,False
03/07/2019,Facoltà Di Giurisprudenza,3.0,3110,False
03/07/2019,Palazzo Poggi,360.0,1,False
03/07/2019,Facoltà Di Giurisprudenza,15.0,285,False
03/07/2019,Piazza Rossini (Palazzo Malvezzi),30.0,252,False
03/07/2019,Piazza Rossini (Palazzo Malvezzi),50.0,74,False
03/07/2019,Piazza Rossini (Palazzo Malvezzi),360.0,45,False
03/07/2019,2 Torri (Inizio Portico Via Zamboni),7.5,824,False
03/07/2019,2 Torri (Inizio Portico Via Zamboni),210.0,58,False
03/07/2019,2 Torri (Inizio Portico Via Zamboni),300.0,59,False
03/07/2019,Facoltà Di Giurisprudenza,150.0,9,False
03/07/2019,Palazzo Poggi,210.0,5,False
03/07/2019,Piazza Verdi,75.0,283,False
03/07/2019,Palazzo Poggi,15.0,387,False
03/07/2019,Porta San Donato,50.0,407,False
03/07/2019,Porta San Donato,210.0,80,False
03/07/2019,Palazzo Poggi,30.0,245,False
03/07/2019,Piazza Puntoni (Via Zamboni),7.5,586,False
03/07/2019,Piazza Puntoni (Via Zamboni),15.0,641,False
03/07/2019,2 Torri (Inizio Portico Via Zamboni),50.0,268,False
03/07/2019,Via San Giacomo,3.0,3901,False
03/07/2019,Via San Giacomo,7.5,813,False
03/07/2019,Piazza Puntoni (Via Zamboni),1.0,4521,False
03/07/2019,Piazza Scaravilli,1.0,5471,False
03/07/2019,Piazza Scaravilli,3.0,2497,False
03/07/2019,Piazza Scaravilli,150.0,11,False
03/07/2019,Piazza Scaravilli,210.0,3,False
03/07/2019,Piazza Scaravilli,360.0,4,False
03/07/2019,Palazzo Poggi,1.0,5627,False
03/07/2019,Via San Giacomo,210.0,7,False
04/07/2019,Piazza Rossini (Palazzo Malvezzi),7.5,546,True
04/07/2019,Piazza Rossini (Palazzo Malvezzi),3.0,3535,True
04/07/2019,Facoltà Di Giurisprudenza,210.0,2,True
04/07/2019,Facoltà Di Giurisprudenza,75.0,26,True
04/07/2019,Facoltà Di Giurisprudenza,30.0,197,True
04/07/2019,Facoltà Di Giurisprudenza,7.5,471,True
04/07/2019,Piazza Verdi,150.0,97,True
04/07/2019,Piazza Verdi,360.0,36,True
04/07/2019,Piazza Verdi,7.5,1247,True
04/07/2019,Piazza Verdi,3.0,4984,True
04/07/2019,Piazza Verdi,1.0,9615,True
04/07/2019,Piazza Rossini (Palazzo Malvezzi),300.0,11,True
04/07/2019,Facoltà Di Giurisprudenza,3.0,3978,True
04/07/2019,2 Torri (Inizio Portico Via Zamboni),3.0,4526,True
04/07/2019,Piazza Puntoni (Via Zamboni),3.0,2929,True
04/07/2019,2 Torri (Inizio Portico Via Zamboni),210.0,63,True
04/07/2019,Porta San Donato,360.0,94,True
04/07/2019,2 Torri (Inizio Portico Via Zamboni),150.0,106,True
04/07/2019,Porta San Donato,3.0,10636,True
04/07/2019,Porta San Donato,150.0,199,True
04/07/2019,Porta San Donato,300.0,95,True
04/07/2019,Piazza Puntoni (Via Zamboni),1.0,5258,True
04/07/2019,Piazza Puntoni (Via Zamboni),7.5,709,True
04/07/2019,Piazza Puntoni (Via Zamboni),30.0,611,True
04/07/2019,Piazza Puntoni (Via Zamboni),150.0,77,True
04/07/2019,Via San Giacomo,7.5,837,True
04/07/2019,Via San Giacomo,15.0,577,True
04/07/2019,Via Del Guasto,105.0,0,True
04/07/2019,2 Torri (Inizio Portico Via Zamboni),15.0,988,True
04/07/2019,Via Del Guasto,50.0,0,True
04/07/2019,Piazza Puntoni (Via Zamboni),300.0,27,True
04/07/2019,Palazzo Poggi,360.0,0,True
04/07/2019,Porta San Donato,15.0,1371,True
04/07/2019,Porta San Donato,50.0,426,True
04/07/2019,Porta San Donato,75.0,347,True
04/07/2019,Porta San Donato,1.0,11896,True
04/07/2019,Porta San Donato,7.5,1465,True
04/07/2019,Porta San Donato,30.0,1554,True
04/07/2019,Porta San Donato,210.0,107,True
04/07/2019,Piazza Puntoni (Via Zamboni),15.0,693,True
04/07/2019,Piazza Puntoni (Via Zamboni),50.0,244,True
04/07/2019,Piazza Puntoni (Via Zamboni),75.0,146,True
04/07/2019,Piazza Puntoni (Via Zamboni),105.0,65,True
04/07/2019,Via San Giacomo,150.0,22,True
04/07/2019,Piazza Puntoni (Via Zamboni),360.0,38,True
04/07/2019,Via San Giacomo,1.0,9706,True
04/07/2019,Via San Giacomo,30.0,375,True
04/07/2019,Via San Giacomo,75.0,59,True
04/07/2019,Piazza Scaravilli,3.0,2480,True
04/07/2019,Piazza Scaravilli,7.5,623,True
04/07/2019,Piazza Scaravilli,50.0,81,True
04/07/2019,Piazza Scaravilli,105.0,14,True
04/07/2019,Piazza Scaravilli,150.0,10,True
04/07/2019,Piazza Scaravilli,300.0,2,True
04/07/2019,Palazzo Poggi,1.0,6169,True
04/07/2019,Palazzo Poggi,3.0,2513,True
04/07/2019,Palazzo Poggi,75.0,42,True
04/07/2019,Palazzo Poggi,105.0,11,True
04/07/2019,Palazzo Poggi,150.0,4,True
04/07/2019,Via Del Guasto,3.0,0,True
04/07/2019,Via San Giacomo,300.0,2,True
04/07/2019,Via Del Guasto,1.0,0,True
04/07/2019,Piazza Scaravilli,75.0,47,True
04/07/2019,Via Del Guasto,360.0,0,True
04/07/2019,Piazza Verdi,50.0,486,True
04/07/2019,Piazza Verdi,75.0,300,True
04/07/2019,Piazza Verdi,105.0,124,True
04/07/2019,Facoltà Di Giurisprudenza,1.0,10982,True
04/07/2019,Piazza Rossini (Palazzo Malvezzi),1.0,12744,True
04/07/2019,Piazza Rossini (Palazzo Malvezzi),15.0,351,True
04/07/2019,Piazza Rossini (Palazzo Malvezzi),50.0,75,True
04/07/2019,Piazza Rossini (Palazzo Malvezzi),75.0,42,True
04/07/2019,Piazza Rossini (Palazzo Malvezzi),105.0,12,True
04/07/2019,Piazza Rossini (Palazzo Malvezzi),360.0,49,True
04/07/2019,2 Torri (Inizio Portico Via Zamboni),7.5,1051,True
04/07/2019,Via Del Guasto,210.0,0,True
04/07/2019,Facoltà Di Giurisprudenza,105.0,5,True
04/07/2019,Facoltà Di Giurisprudenza,300.0,5,True
04/07/2019,Facoltà Di Giurisprudenza,360.0,3,True
04/07/2019,Piazza Rossini (Palazzo Malvezzi),150.0,20,True
04/07/2019,Piazza Rossini (Palazzo Malvezzi),210.0,8,True
04/07/2019,2 Torri (Inizio Portico Via Zamboni),1.0,6977,True
04/07/2019,2 Torri (Inizio Portico Via Zamboni),30.0,872,True
04/07/2019,2 Torri (Inizio Portico Via Zamboni),50.0,310,True
04/07/2019,2 Torri (Inizio Portico Via Zamboni),75.0,269,True
04/07/2019,2 Torri (Inizio Portico Via Zamboni),105.0,110,True
04/07/2019,2 Torri (Inizio Portico Via Zamboni),300.0,57,True
04/07/2019,2 Torri (Inizio Portico Via Zamboni),360.0,96,True
04/07/2019,Piazza Scaravilli,15.0,422,True
04/07/2019,Facoltà Di Giurisprudenza,150.0,6,True
04/07/2019,Via Del Guasto,75.0,0,True
04/07/2019,Piazza Rossini (Palazzo Malvezzi),30.0,237,True
04/07/2019,Via Del Guasto,7.5,0,True
04/07/2019,Piazza Scaravilli,360.0,5,True
04/07/2019,Palazzo Poggi,50.0,73,True
04/07/2019,Porta San Donato,105.0,197,True
04/07/2019,Via Del Guasto,15.0,0,True
04/07/2019,Via Del Guasto,150.0,0,True
04/07/2019,Via Del Guasto,30.0,0,True
04/07/2019,Piazza Verdi,15.0,1256,True
04/07/2019,Piazza Verdi,30.0,1173,True
04/07/2019,Piazza Verdi,210.0,36,True
04/07/2019,Piazza Verdi,300.0,28,True
04/07/2019,Facoltà Di Giurisprudenza,15.0,351,True
04/07/2019,Piazza Puntoni (Via Zamboni),210.0,23,True
04/07/2019,Via San Giacomo,3.0,4044,True
04/07/2019,Via San Giacomo,50.0,116,True
04/07/2019,Via Del Guasto,300.0,0,True
04/07/2019,Facoltà Di Giurisprudenza,50.0,47,True
04/07/2019,Palazzo Poggi,210.0,2,True
04/07/2019,Palazzo Poggi,30.0,261,True
04/07/2019,Palazzo Poggi,300.0,0,True
04/07/2019,Palazzo Poggi,7.5,597,True
04/07/2019,Piazza Scaravilli,210.0,6,True
04/07/2019,Palazzo Poggi,15.0,383,True
04/07/2019,Piazza Scaravilli,1.0,6145,True
04/07/2019,Via San Giacomo,360.0,3,True
04/07/2019,Via San Giacomo,210.0,7,True
04/07/2019,Via San Giacomo,105.0,26,True
04/07/2019,Piazza Scaravilli,30.0,248,True
05/07/2019,Via Del Guasto,7.5,0,False
05/07/2019,Via Del Guasto,50.0,0,False
05/07/2019,Via Del Guasto,150.0,0,False
05/07/2019,Via Del Guasto,360.0,0,False
05/07/2019,Piazza Verdi,3.0,5001,False
05/07/2019,Piazza Verdi,30.0,1181,False
05/07/2019,Piazza Verdi,150.0,101,False
05/07/2019,Piazza Verdi,360.0,35,False
05/07/2019,Piazza Rossini (Palazzo Malvezzi),300.0,9,False
05/07/2019,Facoltà Di Giurisprudenza,3.0,3955,False
